round_number,draw_date,n3_winning,n4_winning,n3_rehearsal,n4_rehearsal
6349,2025-07-19,470,9198,135,6679
6350,2025-07-20,770,0271,389,9266
6351,2025-07-21,041,4077,073,9481
6352,2025-07-22,949,2317,712,2799
6353,2025-07-23,060,1184,794,5441
6354,2025-07-24,082,5892,363,2541
6355,2025-07-25,511,7648,639,7960
6356,2025-07-26,557,1304,261,6537
6357,2025-07-27,204,5235,554,8428
6358,2025-07-28,384,6529,257,9119
6359,2025-07-29,183,5751,536,3245
6360,2025-07-30,558,3872,638,4485
6361,2025-07-31,544,0959,021,7349
6362,2025-08-01,104,2487,857,3393
6363,2025-08-02,169,1228,487,3025
6364,2025-08-03,230,8284,605,8784
6365,2025-08-04,532,9116,763,7892
6366,2025-08-05,118,8696,915,7823
6367,2025-08-06,153,6147,053,2285
6368,2025-08-07,304,2870,908,7508
6369,2025-08-08,850,2986,464,0191
6370,2025-08-09,049,9134,629,3777
6371,2025-08-10,906,2473,109,5791
6372,2025-08-11,451,0942,427,2237
6373,2025-08-12,090,8104,387,7802
6374,2025-08-13,429,0377,925,4478
6375,2025-08-14,013,7405,738,0348
6376,2025-08-15,491,5170,295,4137
6377,2025-08-16,565,4587,647,3543
6378,2025-08-17,389,1610,602,7411
6379,2025-08-18,460,7124,788,0475
6380,2025-08-19,341,9214,292,5243
6381,2025-08-20,919,0944,002,2936
6382,2025-08-21,833,0080,575,2633
6383,2025-08-22,780,8895,919,1769
6384,2025-08-23,320,2293,583,2048
6385,2025-08-24,604,2864,312,8188
6386,2025-08-25,091,8095,293,0640
6387,2025-08-26,385,2651,592,2901
6388,2025-08-27,715,8913,801,3368
6389,2025-08-28,725,2199,655,8455
6390,2025-08-29,796,3648,732,9237
6391,2025-08-30,101,4108,196,9839
6392,2025-08-31,419,9353,563,5201
6393,2025-09-01,802,2137,489,4828
6394,2025-09-02,723,6806,910,1260
6395,2025-09-03,310,9358,292,4323
6396,2025-09-04,546,4692,964,3163
6397,2025-09-05,458,6724,312,7833
6398,2025-09-06,945,3003,839,1806
6399,2025-09-07,791,9372,869,8768
6400,2025-09-08,948,0006,745,1267
6401,2025-09-09,706,5389,137,3589
6402,2025-09-10,916,0045,793,6439
6403,2025-09-11,055,0710,195,3267
6404,2025-09-12,692,7229,924,5028
6405,2025-09-13,963,7029,094,1334
6406,2025-09-14,394,4208,971,3456
6407,2025-09-15,920,7390,274,6232
6408,2025-09-16,541,0042,532,6760
6409,2025-09-17,105,2361,874,5492
6410,2025-09-18,633,7519,043,9385
6411,2025-09-19,834,5651,889,1115
6412,2025-09-20,834,6864,542,4495
6413,2025-09-21,358,5868,082,0671
6414,2025-09-22,983,0825,712,5822
6415,2025-09-23,414,9550,455,1739
6416,2025-09-24,367,3560,915,3449
6417,2025-09-25,017,4511,726,4698
6418,2025-09-26,566,9892,452,8087
6419,2025-09-27,395,9482,184,5829
6420,2025-09-28,956,6822,674,5899
6421,2025-09-29,810,8763,607,5970
6422,2025-09-30,366,7468,797,6158
6423,2025-10-01,494,5786,597,4853
6424,2025-10-02,388,0017,744,5322
6425,2025-10-03,833,6599,333,1469
6426,2025-10-04,957,3988,943,7016
6427,2025-10-05,378,5004,125,3705
6428,2025-10-06,991,5961,047,4601
6429,2025-10-07,978,6496,031,0304
6430,2025-10-08,495,3237,513,5414
6431,2025-10-09,059,5485,195,8364
6432,2025-10-10,391,0224,982,9276
6433,2025-10-11,504,2814,479,2868
6434,2025-10-12,346,4360,430,7445
6435,2025-10-13,578,3918,661,1519
6436,2025-10-14,150,8399,581,9168
6437,2025-10-15,603,3489,311,2772
6438,2025-10-16,440,4591,077,1999
6439,2025-10-17,992,8640,393,1865
6440,2025-10-18,965,6280,431,2735
6441,2025-10-19,639,3364,879,2612
6442,2025-10-20,881,2743,399,1365
6443,2025-10-21,018,1002,025,3801
6444,2025-10-22,668,4170,699,2474
6445,2025-10-23,627,2518,650,4669
6446,2025-10-24,490,8158,723,2197
6447,2025-10-25,089,0597,904,5029
6448,2025-10-26,081,5845,978,7788
6449,2025-10-27,180,3563,067,9016
6450,2025-10-28,736,3690,454,2053
6451,2025-10-29,910,0207,919,2163
6452,2025-10-30,941,1459,670,0810
6453,2025-10-31,806,9319,284,0156
6454,2025-11-01,975,7874,003,3985
6455,2025-11-02,981,6118,480,6266
6456,2025-11-03,279,7646,822,3643
6457,2025-11-04,898,0040,975,7773
6458,2025-11-05,020,3275,993,5595
6459,2024-09-04,907,6135,616,5698
6460,2024-09-05,313,7987,260,7064
6461,2024-09-06,666,1323,512,8563
6462,2024-09-07,827,9100,073,2632
6463,2024-09-08,282,3360,515,2784
6464,2024-09-09,412,1361,746,9315
6465,2024-09-10,271,8593,642,8137
6466,2024-09-11,473,6965,633,1815
6467,2024-09-12,186,2064,696,5141
6468,2024-09-13,772,7167,448,8690
6469,2024-09-14,219,7965,441,7752
6470,2024-09-15,943,6877,159,3292
6471,2024-09-16,872,1380,997,1834
6472,2024-09-17,156,8588,834,7802
6473,2024-09-18,526,4677,442,9308
6474,2024-09-19,719,8006,654,0461
6475,2024-09-20,268,4656,154,8625
6476,2024-09-21,267,5201,602,0387
6477,2024-09-22,161,5737,615,6117
6478,2024-09-23,564,3618,736,1645
6479,2024-09-24,419,3644,396,8304
6480,2024-09-25,933,5782,542,5998
6481,2024-09-26,904,1469,983,7786
6482,2024-09-27,199,9947,279,0349
6483,2024-09-28,478,5930,648,2746
6484,2024-09-29,712,9656,950,4764
6485,2024-09-30,781,2384,716,7431
6486,2024-10-01,455,9143,559,4478
6487,2024-10-02,760,0348,854,5970
6488,2024-10-03,529,9400,514,3838
6489,2024-10-04,788,4011,656,1367
6490,2024-10-05,435,1691,046,0353
6491,2024-10-06,632,5505,894,0006
6492,2024-10-07,421,5640,109,2787
6493,2024-10-08,119,2045,997,2251
6494,2024-10-09,665,2646,165,4346
6495,2024-10-10,017,2322,064,2662
6496,2024-10-11,668,6593,212,9951
6497,2024-10-12,484,2049,800,4011
6498,2024-10-13,018,8337,449,2206
6499,2024-10-14,426,7556,450,7366
6500,2024-10-15,280,2552,571,3518
6501,2024-10-16,364,7285,515,1966
6502,2024-10-17,724,6836,107,7111
6503,2024-10-18,732,5240,035,5624
6504,2024-10-19,094,4896,033,6013
6505,2024-10-20,575,4365,430,4077
6506,2024-10-21,993,6715,648,7234
6507,2024-10-22,810,2208,284,1361
6508,2024-10-23,273,9108,765,0068
6509,2024-10-24,224,7132,970,8901
6510,2024-10-25,335,5209,158,3513
6511,2024-10-26,475,9345,870,9124
6512,2024-10-27,098,8023,499,4348
6513,2024-10-28,884,7487,888,3305
6514,2024-10-29,100,2710,057,3580
6515,2024-10-30,864,6232,033,9181
6516,2024-10-31,086,4044,217,3003
6517,2024-11-01,937,9282,924,6240
6518,2024-11-02,620,2827,910,3333
6519,2024-11-03,643,6533,606,7128
6520,2024-11-04,503,2254,480,5388
6521,2024-11-05,498,4387,897,0795
6522,2024-11-06,853,0780,353,4336
6523,2024-11-07,343,3787,304,2131
6524,2024-11-08,392,1417,279,3900
6525,2024-11-09,098,9118,390,4718
6526,2024-11-10,127,0793,835,1662
6527,2024-11-11,280,1951,006,9552
6528,2024-11-12,802,7007,997,7819
6529,2024-11-13,862,5624,095,0851
6530,2024-11-14,036,8115,211,9536
6531,2024-11-15,270,8424,983,1444
6532,2024-11-16,580,9533,214,0882
6533,2024-11-17,701,4167,903,8636
6534,2024-11-18,051,1770,406,3455
6535,2024-11-19,337,3966,939,3815
6536,2024-11-20,322,1799,603,6763
6537,2024-11-21,684,2057,945,6996
6538,2024-11-22,772,0358,501,2738
6539,2024-11-23,803,8412,591,3930
6540,2024-11-24,801,4618,591,8815
6541,2024-11-25,067,1604,559,9771
6542,2024-11-26,900,7237,616,6452
6543,2024-11-27,376,2390,128,7392
6544,2024-11-28,656,6008,517,8704
6545,2024-11-29,355,1491,440,6022
6546,2024-11-30,864,9909,006,9581
6547,2025-01-08,398,0205,949,2548
6548,2024-12-02,216,9141,835,5138
6549,2024-12-03,385,7828,262,9211
6550,2024-12-04,666,1910,374,1115
6551,2024-12-05,827,7889,148,0668
6552,2024-12-06,500,5705,784,8249
6553,2024-12-07,811,5740,906,6719
6554,2024-12-08,508,4835,595,7247
6555,2024-12-09,527,1130,829,2109
6556,2024-12-10,215,7056,787,8123
6557,2024-12-11,319,3232,264,6318
6558,2024-12-12,669,4601,567,2336
6559,2024-12-13,430,3848,457,5528
6560,2024-12-14,297,2796,726,1743
6561,2024-12-15,776,6411,079,5305
6562,2024-12-16,808,2095,162,7955
6563,2024-12-17,844,5794,276,4158
6564,2024-12-18,835,3119,474,6863
6565,2025-01-26,841,4488,901,6875
6566,2024-12-20,171,5225,411,9215
6567,2024-12-21,549,5211,327,6182
6568,2024-12-22,484,0605,678,7013
6569,2024-12-23,190,9563,819,2611
6570,2024-12-24,097,9299,180,8016
6571,2024-12-25,610,0784,466,9041
6572,2024-12-26,477,5812,641,6301
6573,2024-12-27,014,8903,487,2217
6574,2024-12-28,113,1319,781,2689
6575,2024-12-29,264,0946,119,9948
6576,2024-12-30,751,5126,768,9843
6577,2024-12-31,202,3661,695,9620
6578,2025-01-01,582,5667,680,7409
6579,2025-01-02,983,8407,382,0067
6580,2025-01-03,546,2004,497,3748
6581,2025-01-04,411,8921,190,8137
6582,2025-01-05,934,9546,653,4870
6583,2025-01-06,731,7178,518,9631
6584,2025-01-07,691,5665,650,7319
6585,2025-01-08,021,4428,582,0365
6586,2025-01-09,783,7675,050,8568
6587,2025-01-10,830,2405,514,1267
6588,2025-01-11,161,1995,444,3161
6589,2025-01-12,060,1133,392,0756
6590,2025-01-13,133,4059,989,8998
6591,2025-01-14,241,5709,298,6977
6592,2025-01-15,187,4412,965,5311
6593,2025-01-16,290,2667,791,5704
6594,2025-01-17,359,7143,935,2136
6595,2025-01-18,395,0313,808,4973
6596,2025-01-19,984,8888,955,3760
6597,2025-01-20,230,3369,487,4350
6598,2025-01-21,518,0206,158,3451
6599,2025-01-22,091,3005,571,1508
6600,2025-01-23,530,3952,552,5089
6601,2025-01-24,091,3631,766,5279
6602,2025-01-25,035,5730,506,5145
6603,2025-01-26,956,1088,786,4649
6604,2025-01-27,406,7649,321,0164
6605,2025-01-28,138,3340,600,9409
6606,2025-01-29,147,2532,787,5780
6607,2025-01-30,566,7220,122,2760
6608,2025-01-31,814,5653,386,8761
6609,2025-02-01,638,8963,722,3977
6610,2025-02-02,878,4640,174,0564
6611,2025-02-03,656,3212,136,6468
6612,2025-02-04,175,3920,898,9664
6613,2025-02-05,340,1978,435,7392
6614,2025-02-06,179,0000,264,8870
6615,2025-02-07,710,8253,294,6891
6616,2025-02-08,281,8939,514,7682
6617,2025-02-09,692,2617,417,7101
6618,2025-02-10,205,4259,098,5858
6619,2025-02-11,431,6217,902,7117
6620,2025-02-12,989,9105,211,9351
6621,2025-03-23,409,6199,987,1524
6622,2025-02-14,632,3424,131,4819
6623,2025-02-15,264,0596,502,4888
6624,2025-02-16,108,3498,570,4564
6625,2025-02-17,873,5214,656,1624
6626,2025-02-18,052,0580,285,5112
6627,2025-02-19,495,5892,895,0126
6628,2025-02-20,496,5231,721,9531
6629,2025-02-21,404,0474,597,4015
6630,2025-02-22,315,4119,729,4564
6631,2025-02-23,953,4386,254,1752
6632,2025-02-24,303,9983,566,8208
6633,2025-02-25,188,0685,370,1824
6634,2025-02-26,238,3754,531,7021
6635,2025-02-27,462,1786,317,5694
6636,2025-02-28,207,5802,223,7266
6637,2025-03-01,669,1599,379,5736
6638,2025-03-02,265,8583,765,3045
6639,2025-03-03,606,0135,560,3714
6640,2025-03-04,216,1366,847,3258
6641,2025-03-05,100,2324,274,6356
6642,2025-03-06,944,9774,721,9980
6643,2025-03-07,672,4409,456,3798
6644,2025-03-08,496,8259,031,3219
6645,2025-03-09,842,6385,043,8068
6646,2025-03-10,239,5420,778,8600
6647,2025-03-11,557,2315,294,0818
6648,2025-03-12,169,7240,678,4259
6649,2025-03-13,763,0893,334,4961
6650,2025-03-14,314,9590,042,5663
6651,2025-03-15,577,5400,155,0194
6652,2025-03-16,020,1596,551,3781
6653,2025-03-17,168,0235,904,7357
6654,2025-03-18,799,4827,812,0365
6655,2025-03-19,973,2317,918,2647
6656,2025-03-20,033,0853,622,5590
6657,2025-03-21,100,3881,688,0100
6658,2025-03-22,249,0859,406,5115
6659,2025-03-23,086,8942,377,9827
6660,2025-03-24,427,3343,875,6408
6661,2025-03-25,354,1946,161,6498
6662,2025-03-26,720,3273,192,4241
6663,2025-03-27,796,6744,292,3789
6664,2025-03-28,804,0385,969,4323
6665,2025-03-29,157,9265,643,4699
6666,2025-03-30,770,1890,057,2440
6667,2025-03-31,531,6398,991,8053
6668,2025-04-01,423,3026,435,1949
6669,2025-04-02,185,9378,725,0934
6670,2025-04-03,996,0664,190,2028
6671,2025-04-04,372,3839,785,2427
6672,2025-04-05,394,4968,605,8933
6673,2025-04-06,422,1170,532,5688
6674,2025-04-07,638,6318,967,0873
6675,2025-04-08,052,8194,762,4848
6676,2025-04-09,417,1781,414,6345
6677,2025-04-10,128,0948,965,8078
6678,2025-04-11,959,8256,600,2690
6679,2025-04-12,036,8261,921,3856
6680,2025-04-13,312,9200,892,7132
6681,2025-04-14,946,0384,454,3394
6682,2025-04-15,766,2853,820,2960
6683,2025-04-16,187,7006,883,4055
6684,2025-04-17,150,9843,838,5099
6685,2025-04-18,099,1087,707,4957
6686,2025-04-19,320,8555,830,5564
6687,2025-04-20,146,1431,468,2671
6688,2025-04-21,948,0488,622,9479
6689,2025-04-22,990,2191,609,9238
6690,2025-04-23,029,8397,452,3451
6691,2025-04-24,725,0745,701,7597
6692,2025-04-25,730,6185,765,5246
6693,2025-04-26,337,8221,059,2062
6694,2025-04-27,515,3671,376,6586
6695,2025-04-28,964,1695,149,3048
6696,2025-04-29,129,7892,288,8157
6697,2025-04-30,214,9721,482,2682
6698,2025-05-01,623,2078,164,4291
6699,2025-05-02,457,4417,959,7525
6700,2025-05-03,046,4013,516,2614
6701,2025-05-04,467,7856,593,6704
6702,2025-05-05,543,7011,252,0636
6703,2025-05-06,313,1820,507,0463
6704,2025-05-07,574,2166,123,7238
6705,2025-05-08,629,7555,829,1367
6706,2025-05-09,249,8842,182,5578
6707,2025-05-10,440,4811,355,2300
6708,2025-05-11,637,7834,009,1170
6709,2025-05-12,020,6697,320,2884
6710,2025-05-13,896,7059,099,4595
6711,2025-05-14,978,9686,698,7379
6712,2025-05-15,446,4071,382,1081
6713,2025-05-16,718,1670,513,6114
6714,2025-05-17,253,3449,732,8210
6715,2025-05-18,878,5323,340,5168
6716,2025-05-19,752,8968,946,7253
6717,2025-05-20,652,2948,275,4731
6718,2025-05-21,133,8391,919,8674
6719,2025-05-22,157,0081,145,9522
6720,2025-05-23,990,1952,471,9783
6721,2025-05-24,990,8156,731,8042
6722,2025-05-25,190,1883,454,0348
6723,2025-05-26,502,8892,827,1594
6724,2025-05-27,152,9565,824,1258
6725,2025-05-28,122,1898,745,8327
6726,2025-05-29,371,4368,644,0012
6727,2025-05-30,611,4116,780,2342
6728,2025-05-31,870,9601,588,9410
6729,2025-06-01,263,6418,092,8424
6730,2025-06-02,355,2762,564,3402
6731,2025-06-03,680,9899,061,0731
6732,2025-06-04,752,2718,285,6758
6733,2025-06-05,902,9115,705,2905
6734,2025-06-06,238,3697,569,2082
6735,2025-06-07,564,7357,897,4396
6736,2025-06-08,849,6779,922,5220
6737,2025-06-09,549,7141,541,6568
6738,2025-06-10,898,2839,364,1701
6739,2025-06-11,800,2370,644,8897
6740,2025-06-12,819,5944,731,1800
6741,2025-06-13,066,9318,855,2382
6742,2025-06-14,227,6563,450,1394
6743,2025-06-15,490,5084,365,3687
6744,2025-06-16,284,3142,640,8664
6745,2025-06-17,918,3176,265,8963
6746,2025-06-18,535,7666,342,2759
6747,2025-06-19,069,2482,395,0324
6748,2025-06-20,040,6326,836,9841
6749,2025-06-21,482,0975,578,9746
6750,2025-06-22,120,7592,082,5024
6751,2025-06-23,695,5354,155,8965
6752,2025-06-24,536,7102,721,1869
6753,2025-06-25,870,4804,470,4466
6754,2025-06-26,652,1351,486,0060
6755,2025-06-27,306,8174,938,1367
6756,2025-06-28,458,8622,098,1906
6757,2025-06-29,621,2940,578,6018
6758,2025-06-30,149,6757,670,8218
6759,2025-08-08,307,6759,571,6568
6760,2025-08-09,897,3099,184,1701
6761,2025-08-10,108,1479,472,8897
6762,2025-08-11,407,2452,839,1800
6763,2025-08-12,190,9181,741,2382
6764,2025-08-13,614,2982,956,1394
6765,2025-08-14,843,5358,209,3687
6766,2025-08-15,364,4790,503,8664
6767,2025-08-16,324,0172,202,8963
6768,2025-08-17,588,5225,904,2759
6769,2025-08-18,548,5552,822,0324
6770,2025-08-19,693,2037,965,9841
6771,2025-08-20,442,2337,330,9746
6772,2025-08-21,601,2462,112,5024
6773,2025-08-22,224,7780,151,8965
6774,2025-08-23,168,8714,282,1869
6775,2025-08-24,801,5493,468,4466
6776,2025-08-25,671,7924,086,0060
6777,2025-08-26,294,5454,651,1367
6778,2025-08-27,648,6710,408,1906
6779,2025-08-28,524,1592,264,6018
6780,2025-08-29,491,3175,571,8218
6781,2025-08-30,244,0536,017,0673
6782,2025-08-31,808,3497,584,7513
6783,2025-09-01,856,3080,174,7619
6784,2025-09-02,361,1027,440,2651
6785,2025-09-03,300,4876,325,8845
6786,2025-09-04,207,5835,671,7798
6787,2025-09-05,657,1365,663,5634
6788,2025-09-06,090,6014,044,7996
6789,2025-09-07,462,2458,903,0618
6790,2025-09-08,766,5541,437,5245
6791,2025-09-09,142,6362,452,4760
6792,2025-09-10,486,5140,036,4174
6793,2025-09-11,776,9959,566,3518
6794,2025-09-12,631,9288,934,0485
6795,2025-09-13,218,8749,072,9409
6796,2025-09-14,741,5806,459,5310
6797,2025-09-15,461,9660,972,3327
6798,2025-09-16,313,9463,113,4101
6799,2025-09-17,650,1624,573,2100
6800,2025-09-18,038,6694,970,4461
6801,2025-09-19,186,0774,697,0159
6802,2025-09-20,805,1929,620,1976
6803,2025-09-21,229,0549,822,8464
6804,2025-09-22,275,0538,799,9348
6805,2025-09-23,806,4598,021,0757
6806,2025-09-24,131,3376,672,9522
6807,2025-09-25,856,1871,653,4846
6808,2025-09-26,572,2841,244,1463
6809,2025-09-27,891,5260,323,9149
6810,2025-09-28,777,2679,612,9125
6811,2025-09-29,827,7961,843,1809
6812,2025-09-30,411,8991,818,2931
6813,2025-10-01,573,6867,573,6638
6814,2025-10-02,672,1314,631,6935
6815,2025-10-03,578,7604,918,8362
6816,2025-10-04,368,6152,778,9576
6817,2025-10-05,630,8721,989,5681
6818,2025-10-06,064,5808,051,4548
6819,2025-10-07,072,4787,236,6875
6820,2025-10-08,055,2477,801,3146
6821,2025-10-09,439,7728,660,5827
6822,2025-10-10,049,1540,826,9340
6823,2025-10-11,789,0012,621,3950
6824,2025-10-12,194,7765,438,8666
6825,2025-10-13,213,5280,914,3080
6826,2025-10-14,936,1916,846,4869
6827,2025-10-15,279,2964,652,1756
6828,2025-10-16,523,0933,497,9611
6829,2025-10-17,654,7717,683,1906
6830,2025-10-18,404,0220,443,1973
6831,2025-10-19,636,6352,307,4551
6832,2025-10-20,708,3148,965,4940
6833,2025-10-21,278,6896,642,1155
6834,2025-10-22,404,4706,975,3229
6835,2025-10-23,374,1350,493,0770
6836,2025-10-24,157,4325,679,7327
6837,2025-10-25,729,5441,168,4162
6838,2025-10-26,518,0100,445,6256
6839,2025-10-27,204,8607,368,5646
6840,2025-10-28,139,2326,391,7235
6842,2025-10-30,472,4591,191,7640
6843,2025-10-31,631,0523,977,1388
6844,2025-11-01,656,0017,075,5644
6845,2025-11-02,652,4714,756,6277
6846,2025-11-03,013,8726,208,8835
6847,2025-11-04,395,0137,806,7007
6848,2025-11-05,810,9275,211,8695
6849,2025-11-05,684,9227,631,7668
